x,y,z
-15.3,-39.6,36.0
-17.7,-39.9,36.0
-16.6,-39.0,36.6
-16.1,-39.6,35.5
-16.2,-40.0,35.4
-16.1,-39.6,36.0
-15.3,-39.9,34.5
-17.1,-39.3,36.9
-16.6,-38.5,35.9
-16.5,-40.6,34.8
-16.1,-39.9,35.5
-16.6,-39.3,36.6
-16.6,-37.0,36.6
-16.1,-39.6,34.8
-16.6,-38.5,36.6
-17.2,-39.1,36.4
-16.5,-39.9,34.5
-14.7,-38.2,34.6
-17.2,-39.1,36.0
-15.6,-40.6,36.0
-16.2,-39.0,35.9
-14.8,-39.6,35.5
-16.8,-39.6,36.0
-16.5,-39.1,36.8
-18.3,-38.5,35.9
